cell_code,whole_plots,details,type,binder,solvent,fec,thickness,anode,anode_mass,active_mass,capacity_mah,protocol_type,source_file,ICE,retention_final,n_cycles,fade_rate_total,reference_cycle,final_cycle,inferred_cell_type,warnings
IF1606E1,,half small space june,half,CMC,EC:DEC,5.0,200.0,,0.0085,0.00423,1.269,ratetest,IF1606E1_5FEC_2026-06-23 16-03-51_1_HardCarbon_Na_Halfcell_Ratetest.xlsx,81.15351158073832,,,,,,half,
IF1606E10,,half small space june,half,CMC,EC:DEC,0.5,200.0,,0.009,0.00468,1.404,ratetest,IF1606E10_0.5FEC_2026-06-23 16-10-03_2_HardCarbon_Na_Halfcell_Ratetest.xlsx,81.3060853677103,,,,,,half,
IF1606E11,,half small space june,half,CMC,EC:DEC,0.5,200.0,,0.0063,0.00225,0.675,ratetest,IF1606E11_0.5FEC_2026-06-23 16-10-37_3_HardCarbon_Na_Halfcell_Ratetest.xlsx,76.8042502774943,,,,,,half,
IF1606E2,,half small space june,half,CMC,EC:DEC,5.0,200.0,,0.0085,0.00423,1.269,ratetest,IF1606E2_5FEC_2026-06-23 16-04-15_2_HardCarbon_Na_Halfcell_Ratetest.xlsx,,,,,,,,"no charge/discharge pairs found, ICE not calculated"
IF1606E3,,half small space june,half,CMC,EC:DEC,5.0,200.0,,0.008,0.00378,1.134,ratetest,IF1606E3_5FEC_2026-06-23 16-04-49_3_HardCarbon_Na_Halfcell_Ratetest.xlsx,82.31098653257231,,,,,,half,
IF1606E4,,half small space june,half,CMC,EC:DEC,5.0,200.0,,0.0078,0.0036,1.08,ratetest,IF1606E4_5FEC_2026-06-23 16-05-30_4_HardCarbon_Na_Halfcell_Ratetest.xlsx,83.9597988725019,,,,,,half,
IF1606E6,,half small space june,half,CMC,EC:DEC,5.0,200.0,,0.0082,0.00396,1.188,ratetest,IF1606E6_5FEC_2026-06-23 16-07-19_6_HardCarbon_Na_Halfcell_Ratetest.xlsx,75.55818262934203,,,,,,half,
IF1606E7,,half small space june,half,CMC,EC:DEC,0.5,200.0,,0.0077,0.00351,1.053,ratetest,IF1606E7_0.5FEC_2026-06-23 16-08-07_7_HardCarbon_Na_Halfcell_Ratetest.xlsx,83.743456575914,,,,,,half,
IF1606E8,,half small space june,half,CMC,EC:DEC,0.5,200.0,,0.0077,0.00351,1.053,ratetest,IF1606E8_0.5FEC_2026-06-23 16-08-48_8_HardCarbon_Na_Halfcell_Ratetest.xlsx,86.8070116648918,,,,,,half,
IF1606E9,,half small space june,half,CMC,EC:DEC,0.5,200.0,,0.0085,0.00423,1.269,ratetest,IF1606E9_0.5FEC_2026-06-23 16-09-26_1_HardCarbon_Na_Halfcell_Ratetest.xlsx,85.08745927900523,,,,,,half,
IF2007E1,,half small space,half,CMC,EC:DEC,0.0,200.0,,0.0083,0.00405,1.215,longterm,IF2007E1_0FEC_2026-07-21 16-57-41.csv,84.70820009017498,58.43912041408584,127.0,0.3272510203615288,2.0,127.0,half,
IF2007E10,,half small space,half,CMC,EC:DEC,0.625,200.0,,0.0081,0.00387,1.161,longterm,IF2007E10_0.625FEC_2026-07-21 16-56-13.csv,85.16723726132737,86.46603243099882,173.0,0.0782310264104114,2.0,173.0,half,
